Chocolatey v2.2.2
7zip 23.1.0
7zip.install 23.1.0
ag 2.2.5
chocolatey 2.2.2
chocolatey-compatibility.extension 1.0.0
chocolatey-core.extension 1.4.0
chocolatey-dotnetfx.extension 1.0.1
chocolatey-font-helpers.extension 0.0.4
chocolatey-visualstudio.extension 1.11.1
chocolatey-windowsupdate.extension 1.0.5
dotnet-8.0-desktopruntime 8.0.0
dotnet-desktopruntime 8.0.0
dotnetfx 4.8.0.20220524
FiraCode 6.2.0
fzf 0.44.1
gnuwin32-coreutils.install 5.3.0
KB2919355 1.0.20160915
KB2919442 1.0.20160915
KB2999226 1.0.20181019
KB3033929 1.0.5
KB3035131 1.0.3
mingw 13.2.0
powertoys 0.76.2
procexp 17.5.0.20231021
python 3.12.1
python3 3.12.1
python312 3.12.1
vcredist140 14.38.33130
vcredist2015 14.0.24215.20170201
vcxsrv 1.20.14
visualstudio2019buildtools 16.11.33
visualstudio-installer 2.0.3
vscode 1.85.1
vscode.install 1.85.1
34 packages installed.
